Country code,1950-1955 fert,2015-2020 fert,1950-1955 mort,2015-2020 mort
108,6.8,5.45,280,63
174,6,4.24,288,70
262,6.31,2.76,260,51
232,6.97,4.1,333,44
231,7.17,4.3,333,55
404,7.48,3.52,248,47
450,7.3,4.11,294,43
454,6.85,4.25,348,55
480,5.9,1.39,168,13
175,7.91,3.73,223,5
508,6.34,4.89,319,73
638,6.93,2.27,222,3
646,8,4.1,271,38
690,5,2.46,114,14
706,7.25,6.12,334,115
728,6.65,4.74,406,99
800,6.9,5.01,271,63
834,6.74,4.92,264,57
894,6.7,4.66,238,61
716,6.8,3.63,181,51
24,6,5.55,324,81
120,5.49,4.6,285,88
140,5.52,4.75,340,122
148,6.1,5.8,312,123
178,5.68,4.45,240,48
180,5.98,5.96,281,100
226,5.67,4.55,328,94
266,3.99,4,301,48
678,6.2,4.35,210,32
72,6.5,2.89,217,38
748,6.7,3.03,260,54
426,5.84,3.16,219,87
516,6,3.42,257,45
710,6.05,2.41,228,35
204,5.86,4.87,347,96
854,6.1,5.23,376,84
132,6.57,2.29,197,20
384,7.45,4.68,394,87
270,6.35,5.25,383,68
288,6.44,3.89,249,52
324,6,4.74,346,81
624,5.9,4.51,312,82
430,6.27,4.35,332,74
466,6.95,5.92,427,105
478,6.34,4.59,293,79
562,7.3,6.95,325,85
566,6.35,5.42,335,102
686,6.8,4.65,320,45
694,6.03,4.32,431,110
768,6.33,4.35,321,75
12,7.28,3.05,278,25
818,6.75,3.33,387,20
434,7.14,2.25,346,13
504,6.61,2.42,252,23
729,6.65,4.43,227,64
788,6.65,2.2,302,13
732,6.34,2.41,322,35
51,4.49,1.76,96,13
31,5.2,2.08,174,25
48,6.97,2,267,8
196,3.71,1.34,78,4
268,2.75,2.06,90,10
368,7.3,3.68,327,28
376,4.28,3.04,49,3
400,7.38,2.77,238,17
414,7.2,2.1,193,8
422,5.74,2.09,94,11
512,7.25,2.93,359,8
634,6.97,1.88,163,8
682,7.18,2.34,300,7
275,7.38,3.67,210,20
760,7.23,2.84,211,18
792,6.69,2.08,292,13
784,6.97,1.42,269,6
887,7.8,3.84,427,55
398,4.41,2.76,144,10
417,4.36,3,174,18
762,5.4,3.61,216,32
795,5.3,2.79,193,51
860,5.3,2.43,156,26
4,7.45,4.56,405,68
50,6.36,2.05,315,32
64,6.67,2,360,30
356,5.9,2.24,271,39
364,6.91,2.15,298,15
462,6.03,1.88,381,8
524,5.96,1.93,334,34
586,6.6,3.55,341,75
144,5.8,2.21,144,9
156,6.11,1.69,205,12
344,4.44,1.33,87,2
446,4.39,1.2,90,4
158,6.72,1.15,110,5
408,3.46,1.91,200,18
392,2.96,1.37,72,2
496,5.6,2.9,294,22
410,5.65,1.11,251,3
96,6.9,1.85,157,10
116,6.95,2.52,213,28
360,5.49,2.32,276,25
418,5.94,2.7,264,48
458,6.35,2.01,144,7
104,6,2.17,317,48
608,7.42,2.58,137,28
702,6.61,1.21,85,2
764,6.14,1.53,189,9
626,6.55,4.1,389,47
704,5.4,2.06,158,21
28,4.5,2,108,7
533,5.65,1.9,95,16
44,4.05,1.76,46,7
52,4.42,1.62,179,12
192,4.15,1.62,113,6
531,5.07,1.76,87,11
214,7.6,2.36,252,29
308,5.8,2.07,127,16
312,5.61,2.17,134,5
332,6.3,2.96,331,81
388,4.22,1.99,117,15
474,5.71,1.88,114,6
630,4.97,1.22,75,6
662,6,1.44,184,16
670,7.33,1.9,181,16
780,5.3,1.73,86,26
850,5.25,2.05,78,9
84,6.65,2.32,136,15
188,6.12,1.76,153,9
222,6.36,2.05,223,17
320,7.12,2.9,249,26
340,7.5,2.49,277,21
484,6.75,2.14,193,16
558,7.2,2.42,254,20
591,5.76,2.47,128,19
32,3.15,2.27,84,12
68,6.5,2.75,306,49
76,6.1,1.74,190,15
152,4.85,1.65,159,8
170,6.51,1.82,167,15
218,6.75,2.44,207,16
254,5,3.36,148,10
328,6.04,2.47,97,32
600,6.5,2.45,102,21
604,6.95,2.27,267,16
740,6.56,2.43,114,20
858,2.73,1.98,64,10
862,6.46,2.28,140,31
36,3.18,1.83,30,4
554,3.69,1.9,33,5
242,6.63,2.79,120,25
540,5.22,1.97,171,13
598,6.24,3.59,249,53
90,6.4,4.44,254,20
548,7.6,3.8,180,27
316,5.53,2.32,116,10
296,6.1,3.58,227,54
583,7.2,3.08,149,32
258,6,1.95,142,7
882,7.63,3.9,131,16
776,7.3,3.58,108,16
112,2.61,1.71,127,4
100,2.53,1.56,116,7
203,2.74,1.64,50,3
348,2.69,1.49,83,5
616,3.63,1.42,92,4
498,3.5,1.26,101,14
642,3.06,1.62,113,8
643,2.85,1.82,142,7
703,3.5,1.5,86,6
804,2.81,1.44,113,9
830,2.06,1.5,40,7
208,2.55,1.76,33,4
233,2.06,1.59,112,3
246,3,1.53,40,2
352,3.86,1.77,27,2
372,3.42,1.84,49,3
428,2,1.72,107,5
440,2.84,1.67,138,5
578,2.6,1.68,29,2
752,2.24,1.85,24,2
826,2.18,1.75,33,4
8,6.23,1.62,194,11
70,4.82,1.27,203,7
191,2.73,1.45,104,5
300,2.48,1.3,58,3
380,2.36,1.33,73,3
470,4.15,1.45,78,6
499,4.35,1.75,133,3
807,5.06,1.5,155,12
620,3.1,1.29,135,3
688,3.22,1.46,135,6
705,2.68,1.6,29,2
724,2.53,1.33,82,3
40,2.1,1.53,61,4
56,2.37,1.71,51,3
250,2.76,1.85,52,4
276,2.13,1.59,55,4
442,1.98,1.45,56,4
528,3.05,1.66,30,3
756,2.31,1.54,36,4
124,3.65,1.53,44,5
840,3.31,1.78,35,7